date,deaths,temp,ozone,hum
01jan2002,199,-0.23,4.59,75.68
02jan2002,231,0.09,4.88,77.53
03jan2002,210,0.85,4.71,81.32
04jan2002,203,0.54,4.14,85.45
05jan2002,224,4.25,2.01,93.53
06jan2002,198,7.07,2.40,96.40
07jan2002,180,5.19,4.08,93.53
08jan2002,188,3.51,3.13,81.50
09jan2002,168,3.22,2.05,88.32
10jan2002,194,5.32,5.19,85.40
11jan2002,223,2.99,3.59,92.60
12jan2002,201,4.76,12.87,94.18
13jan2002,204,8.18,17.61,91.43
14jan2002,184,9.29,18.70,89.18
15jan2002,191,7.24,15.95,82.82
16jan2002,181,4.24,9.60,83.32
17jan2002,179,6.52,27.55,88.43
18jan2002,172,4.64,18.27,83.32
19jan2002,167,7.12,44.27,70.00
20jan2002,167,8.93,49.91,85.80
21jan2002,189,10.84,38.09,81.22
22jan2002,183,9.04,43.09,71.33
23jan2002,193,9.29,46.91,83.22
24jan2002,173,8.56,34.55,76.03
25jan2002,177,6.62,26.00,80.95
26jan2002,174,9.24,60.64,84.55
27jan2002,169,10.46,42.45,90.30
28jan2002,204,10.33,56.09,61.47
29jan2002,164,10.91,38.11,77.53
30jan2002,160,11.13,33.02,82.98
31jan2002,192,8.48,46.72,72.70
01feb2002,173,9.86,58.21,78.55
02feb2002,167,12.18,60.53,73.03
03feb2002,180,9.53,39.26,79.55
04feb2002,143,8.06,44.40,89.18
05feb2002,194,9.58,48.00,76.55
06feb2002,148,7.25,33.92,64.05
07feb2002,144,6.30,21.54,79.32
08feb2002,169,9.49,28.50,89.78
09feb2002,171,10.14,54.20,62.38
10feb2002,155,9.10,55.57,68.75
11feb2002,146,11.03,44.50,86.50
12feb2002,141,11.50,39.00,69.60
13feb2002,150,7.82,22.27,78.53
14feb2002,177,5.46,32.83,59.08
15feb2002,177,3.56,16.25,72.40
16feb2002,166,5.11,16.37,70.62
17feb2002,154,3.71,7.43,79.03
18feb2002,186,5.65,21.73,66.25
19feb2002,171,8.34,45.16,68.22
20feb2002,151,8.15,48.63,59.27
21feb2002,169,5.20,31.81,65.90
22feb2002,185,9.13,50.52,67.75
23feb2002,154,5.56,57.08,74.55
24feb2002,161,5.76,41.77,84.18
